Iter 1 Batch 1/3140: Error = 418.774048 ; Learning Rate = 0.001000	
Iter 1 Batch 2/3140: Error = 418.445831 ; Learning Rate = 0.001000	
Iter 1 Batch 3/3140: Error = 418.920013 ; Learning Rate = 0.001000	
Iter 1 Batch 4/3140: Error = 418.674438 ; Learning Rate = 0.001000	
Iter 1 Batch 5/3140: Error = 417.567749 ; Learning Rate = 0.001000	
Iter 1 Batch 6/3140: Error = 417.634094 ; Learning Rate = 0.001000	
Iter 1 Batch 7/3140: Error = 417.270813 ; Learning Rate = 0.001000	
Iter 1 Batch 8/3140: Error = 416.320618 ; Learning Rate = 0.001000	
Iter 1 Batch 9/3140: Error = 413.900452 ; Learning Rate = 0.001000	
Iter 1 Batch 10/3140: Error = 415.882812 ; Learning Rate = 0.001000	
Iter 1 Batch 11/3140: Error = 415.086029 ; Learning Rate = 0.001000	
Iter 1 Batch 12/3140: Error = 414.525818 ; Learning Rate = 0.001000	
Iter 1 Batch 13/3140: Error = 414.058380 ; Learning Rate = 0.001000	
Iter 1 Batch 14/3140: Error = 414.132904 ; Learning Rate = 0.001000	
Iter 1 Batch 15/3140: Error = 412.624390 ; Learning Rate = 0.001000	
Iter 1 Batch 16/3140: Error = 411.711609 ; Learning Rate = 0.001000	
Iter 1 Batch 17/3140: Error = 412.226532 ; Learning Rate = 0.001000	
Iter 1 Batch 18/3140: Error = 411.678589 ; Learning Rate = 0.001000	
Iter 1 Batch 19/3140: Error = 411.307098 ; Learning Rate = 0.001000	
Iter 1 Batch 20/3140: Error = 411.005371 ; Learning Rate = 0.001000	
Iter 1 Batch 21/3140: Error = 408.886902 ; Learning Rate = 0.001000	
Iter 1 Batch 22/3140: Error = 408.943054 ; Learning Rate = 0.001000	
Iter 1 Batch 23/3140: Error = 409.144897 ; Learning Rate = 0.001000	
Iter 1 Batch 24/3140: Error = 408.755737 ; Learning Rate = 0.001000	
Iter 1 Batch 25/3140: Error = 407.914795 ; Learning Rate = 0.001000	
Iter 1 Batch 26/3140: Error = 405.786926 ; Learning Rate = 0.001000	
Iter 1 Batch 27/3140: Error = 405.707764 ; Learning Rate = 0.001000	
